vhod1-3,vhod1-2,vhod1-1,vhod2-3,vhod2-2,vhod2-1,izhod-3,izhod-2,izhod-1,izhod
-0.0586888584,-0.06288239975,-0.06706902413,-0.04883890842,-0.06806740697,-0.08621991312,63.02843632,62.75469193,62.42990992,62.05626302
-0.06288239975,-0.06706902413,-0.07124861627,-0.06806740697,-0.08621991312,-0.1032539746,62.75469193,62.42990992,62.05626302,61.63600922
-0.06706902413,-0.07124861627,-0.0754210612,-0.08621991312,-0.1032539746,-0.1191324571,62.42990992,62.05626302,61.63600922,61.17148112
-0.07124861627,-0.0754210612,-0.07958624432,-0.1032539746,-0.1191324571,-0.1338236396,62.05626302,61.63600922,61.17148112,60.66507511
-0.0754210612,-0.07958624432,-0.08374405134,-0.1191324571,-0.1338236396,-0.1473012873,61.63600922,61.17148112,60.66507511,60.11924038
-0.07958624432,-0.08374405134,-0.08789436831,-0.1338236396,-0.1473012873,-0.1595447038,61.17148112,60.66507511,60.11924038,59.53646787
-0.08374405134,-0.08789436831,-0.09203708164,-0.1473012873,-0.1595447038,-0.1705387612,60.66507511,60.11924038,59.53646787,58.9192791
-0.08789436831,-0.09203708164,-0.09617207806,-0.1595447038,-0.1705387612,-0.1802739079,60.11924038,59.53646787,58.9192791,58.27021505
-0.09203708164,-0.09617207806,-0.1002992447,-0.1705387612,-0.1802739079,-0.1887461551,59.53646787,58.9192791,58.27021505,57.59182501
-0.09617207806,-0.1002992447,-0.1044184689,-0.1802739079,-0.1887461551,-0.1959570416,58.9192791,58.27021505,57.59182501,56.88665552
-0.1002992447,-0.1044184689,-0.1085296385,-0.1887461551,-0.1959570416,-0.2019135769,58.27021505,57.59182501,56.88665552,56.15723945
-0.1044184689,-0.1085296385,-0.1126326417,-0.1959570416,-0.2019135769,-0.2066281634,57.59182501,56.88665552,56.15723945,55.4060852
-0.1085296385,-0.1126326417,-0.116727367,-0.2019135769,-0.2066281634,-0.2101184974,56.88665552,56.15723945,55.4060852,54.6356661
-0.1126326417,-0.116727367,-0.1208137032,-0.2066281634,-0.2101184974,-0.21240745,56.15723945,55.4060852,54.6356661,53.84841009
-0.116727367,-0.1208137032,-0.1248915397,-0.2101184974,-0.21240745,-0.2135229283,55.4060852,54.6356661,53.84841009,53.04668962
-0.1208137032,-0.1248915397,-0.128960766,-0.21240745,-0.2135229283,-0.2134977169,54.6356661,53.84841009,53.04668962,52.23281188
-0.1248915397,-0.128960766,-0.1330212721,-0.2135229283,-0.2134977169,-0.2123693013,53.84841009,53.04668962,52.23281188,51.40900946
-0.128960766,-0.1330212721,-0.1370729485,-0.2134977169,-0.2123693013,-0.2101796729,53.04668962,52.23281188,51.40900946,50.57743127
-0.1330212721,-0.1370729485,-0.1411156858,-0.2123693013,-0.2101796729,-0.2069751173,52.23281188,51.40900946,50.57743127,49.74013398
-0.1370729485,-0.1411156858,-0.1451493753,-0.2101796729,-0.2069751173,-0.2028059864,51.40900946,50.57743127,49.74013398,48.89907388
-0.1411156858,-0.1451493753,-0.1491739084,-0.2069751173,-0.2028059864,-0.197726455,50.57743127,49.74013398,48.89907388,48.05609925
-0.1451493753,-0.1491739084,-0.1531891772,-0.2028059864,-0.197726455,-0.1917942629,49.74013398,48.89907388,48.05609925,47.21294319
-0.1491739084,-0.1531891772,-0.1571950738,-0.197726455,-0.1917942629,-0.1850704446,48.89907388,48.05609925,47.21294319,46.37121708
-0.1531891772,-0.1571950738,-0.161191491,-0.1917942629,-0.1850704446,-0.1776190456,48.05609925,47.21294319,46.37121708,45.53240452
-0.1571950738,-0.161191491,-0.1651783221,-0.1850704446,-0.1776190456,-0.1695068281,47.21294319,46.37121708,45.53240452,44.69785589
-0.161191491,-0.1651783221,-0.1691554604,-0.1776190456,-0.1695068281,-0.1608029674,46.37121708,45.53240452,44.69785589,43.86878358
-0.1651783221,-0.1691554604,-0.1731227999,-0.1695068281,-0.1608029674,-0.1515787385,45.53240452,44.69785589,43.86878358,43.0462577
-0.1691554604,-0.1731227999,-0.1770802351,-0.1608029674,-0.1515787385,-0.1419071959,44.69785589,43.86878358,43.0462577,42.2312026
-0.1731227999,-0.1770802351,-0.1810276606,-0.1515787385,-0.1419071959,-0.1318628467,43.86878358,43.0462577,42.2312026,41.42439393
-0.1770802351,-0.1810276606,-0.1849649716,-0.1419071959,-0.1318628467,-0.1215213192,43.0462577,42.2312026,41.42439393,40.62645637
-0.1810276606,-0.1849649716,-0.1888920638,-0.1318628467,-0.1215213192,-0.1109590274,42.2312026,41.42439393,40.62645637,39.83786213
-0.1849649716,-0.1888920638,-0.1928088331,-0.1215213192,-0.1109590274,-0.1002528333,41.42439393,40.62645637,39.83786213,39.05892996
-0.1888920638,-0.1928088331,-0.1967151761,-0.1109590274,-0.1002528333,-0.08947970815,40.62645637,39.83786213,39.05892996,38.28982502
-0.1928088331,-0.1967151761,-0.2006109897,-0.1002528333,-0.08947970815,-0.07871639405,39.83786213,39.05892996,38.28982502,37.53055926
-0.1967151761,-0.2006109897,-0.204496171,-0.08947970815,-0.07871639405,-0.06803906682,39.05892996,38.28982502,37.53055926,36.78099261
-0.2006109897,-0.204496171,-0.208370618,-0.07871639405,-0.06803906682,-0.05752300208,38.28982502,37.53055926,36.78099261,36.04083476
-0.204496171,-0.208370618,-0.2122342289,-0.06803906682,-0.05752300208,-0.04724224536,37.53055926,36.78099261,36.04083476,35.30964758
-0.208370618,-0.2122342289,-0.2160869022,-0.05752300208,-0.04724224536,-0.03726928771,36.78099261,36.04083476,35.30964758,34.5868483
-0.2122342289,-0.2160869022,-0.219928537,-0.04724224536,-0.03726928771,-0.027674748,36.04083476,35.30964758,34.5868483,33.87171319
-0.2160869022,-0.219928537,-0.223759033,-0.03726928771,-0.027674748,-0.01852706326,35.30964758,34.5868483,33.87171319,33.16338196
-0.219928537,-0.223759033,-0.2275782901,-0.027674748,-0.01852706326,-0.009892188118,34.5868483,33.87171319,33.16338196,32.46086272
-0.223759033,-0.2275782901,-0.2313862087,-0.01852706326,-0.009892188118,-0.001833304567,33.87171319,33.16338196,32.46086272,31.76303748
-0.2275782901,-0.2313862087,-0.2351826898,-0.009892188118,-0.001833304567,0.005589456753,33.16338196,32.46086272,31.76303748,31.06866833
-0.2313862087,-0.2351826898,-0.2389676347,-0.001833304567,0.005589456753,0.01231928277,32.46086272,31.76303748,31.06866833,30.37640399
-0.2351826898,-0.2389676347,-0.2427409453,0.005589456753,0.01231928277,0.01830293061,31.76303748,31.06866833,30.37640399,29.68478701
-0.2389676347,-0.2427409453,-0.2465025239,0.01231928277,0.01830293061,0.02349096562,31.06866833,30.37640399,29.68478701,28.99226137
-0.2427409453,-0.2465025239,-0.2502522732,0.01830293061,0.02349096562,0.02783798393,30.37640399,29.68478701,28.99226137,28.29718052
-0.2465025239,-0.2502522732,-0.2539900965,0.02349096562,0.02783798393,0.03130281861,29.68478701,28.99226137,28.29718052,27.59781587
-0.2502522732,-0.2539900965,-0.2577158975,0.02783798393,0.03130281861,0.03384872869,28.99226137,28.29718052,27.59781587,26.89236563
-0.2539900965,-0.2577158975,-0.2614295805,0.03130281861,0.03384872869,0.03544357018,28.29718052,27.59781587,26.89236563,26.17896403
-0.2577158975,-0.2614295805,-0.26513105,0.03384872869,0.03544357018,0.03605994852,27.59781587,26.89236563,26.17896403,25.45569078
-0.2614295805,-0.26513105,-0.2688202113,0.03544357018,0.03605994852,0.03567535184,26.89236563,26.17896403,25.45569078,24.72058085
-0.26513105,-0.2688202113,-0.27249697,0.03605994852,0.03567535184,0.03427226443,26.17896403,25.45569078,24.72058085,23.97163447
-0.2688202113,-0.27249697,-0.2761612323,0.03567535184,0.03427226443,0.03183826003,25.45569078,24.72058085,23.97163447,23.20682729
-0.27249697,-0.2761612323,-0.2798129048,0.03427226443,0.03183826003,0.02836607445,24.72058085,23.97163447,23.20682729,22.42412073
-0.2761612323,-0.2798129048,-0.2834518947,0.03183826003,0.02836607445,0.02385365743,23.97163447,23.20682729,22.42412073,21.62147236
-0.2798129048,-0.2834518947,-0.2870781095,0.02836607445,0.02385365743,0.01830420323,23.20682729,22.42412073,21.62147236,20.79684643
-0.2834518947,-0.2870781095,-0.2906914574,0.02385365743,0.01830420323,0.01172616004,22.42412073,21.62147236,20.79684643,19.94822438
-0.2870781095,-0.2906914574,-0.294291847,0.01830420323,0.01172616004,0.004133217975,21.62147236,20.79684643,19.94822438,19.07361528
-0.2906914574,-0.294291847,-0.2978791875,0.01172616004,0.004133217975,-0.004455724182,20.79684643,19.94822438,19.07361528,18.17106627
-0.294291847,-0.2978791875,-0.3014533886,0.004133217975,-0.004455724182,-0.01401661354,19.94822438,19.07361528,18.17106627,17.23867287
-0.2978791875,-0.3014533886,-0.3050143603,-0.004455724182,-0.01401661354,-0.02452031869,19.07361528,18.17106627,17.23867287,16.27458916
-0.3014533886,-0.3050143603,-0.3085620134,-0.01401661354,-0.02452031869,-0.0359327261,18.17106627,17.23867287,16.27458916,15.27703766
-0.3050143603,-0.3085620134,-0.3120962591,-0.02452031869,-0.0359327261,-0.04821485697,17.23867287,16.27458916,15.27703766,14.24431917
-0.3085620134,-0.3120962591,-0.3156170091,-0.0359327261,-0.04821485697,-0.06132300419,16.27458916,15.27703766,14.24431917,13.17482214
-0.3120962591,-0.3156170091,-0.3191241755,-0.04821485697,-0.06132300419,-0.07520888885,15.27703766,14.24431917,13.17482214,12.06703183
-0.3156170091,-0.3191241755,-0.3226176713,-0.06132300419,-0.07520888885,-0.08981983572,14.24431917,13.17482214,12.06703183,10.91953915
-0.3191241755,-0.3226176713,-0.3260974096,-0.07520888885,-0.08981983572,-0.1050989672,13.17482214,12.06703183,10.91953915,9.731048983
-0.3226176713,-0.3260974096,-0.3295633043,-0.08981983572,-0.1050989672,-0.1209854148,12.06703183,10.91953915,9.731048983,8.50038824
-0.3260974096,-0.3295633043,-0.3330152698,-0.1050989672,-0.1209854148,-0.1374145477,10.91953915,9.731048983,8.50038824,7.226513336
-0.3295633043,-0.3330152698,-0.3364532208,-0.1209854148,-0.1374145477,-0.1543182173,9.731048983,8.50038824,7.226513336,5.908517239
